Region	Observed Tags	Unique Tags	Rolled-Up Tags	Avg Reads Per Unique Tag	Avg Reads Per Rolled-Up Tag	Fraction of Unique Tags that are Rolled-Up	Yield: Rolled-Up Tags
0	977	977	937	1.0	1.0426894343649946	0.9590583418628454	0.0033638299999999995
1	0	0	0	0.0	0.0	0.0	0.0
2	0	0	0	0.0	0.0	0.0	0.0
3	2	2	2	1.0	1.0	1.0	7.179999999999999e-06
4	254	254	251	1.0	1.0119521912350598	0.9881889763779528	0.0009010899999999999
5	10	10	10	1.0	1.0	1.0	3.59e-05
6	0	0	0	0.0	0.0	0.0	0.0
7	114	114	113	1.0	1.008849557522124	0.9912280701754386	0.00040566999999999996
8	0	0	0	0.0	0.0	0.0	0.0
9	0	0	0	0.0	0.0	0.0	0.0
10	0	0	0	0.0	0.0	0.0	0.0
11	0	0	0	0.0	0.0	0.0	0.0
12	0	0	0	0.0	0.0	0.0	0.0
13	0	0	0	0.0	0.0	0.0	0.0
14	0	0	0	0.0	0.0	0.0	0.0
15	0	0	0	0.0	0.0	0.0	0.0
16	0	0	0	0.0	0.0	0.0	0.0
17	0	0	0	0.0	0.0	0.0	0.0
18	0	0	0	0.0	0.0	0.0	0.0
19	0	0	0	0.0	0.0	0.0	0.0
20	0	0	0	0.0	0.0	0.0	0.0
21	0	0	0	0.0	0.0	0.0	0.0
22	0	0	0	0.0	0.0	0.0	0.0
23	0	0	0	0.0	0.0	0.0	0.0
24	17	17	17	1.0	1.0	1.0	6.102999999999999e-05
25	0	0	0	0.0	0.0	0.0	0.0
26	1	1	1	1.0	1.0	1.0	3.5899999999999995e-06
27	4	4	4	1.0	1.0	1.0	1.4359999999999998e-05
28	0	0	0	0.0	0.0	0.0	0.0
29	0	0	0	0.0	0.0	0.0	0.0
30	24	24	24	1.0	1.0	1.0	8.615999999999999e-05
31	0	0	0	0.0	0.0	0.0	0.0
32	63	63	63	1.0	1.0	1.0	0.00022616999999999996
33	0	0	0	0.0	0.0	0.0	0.0
34	15	15	15	1.0	1.0	1.0	5.3849999999999994e-05
35	0	0	0	0.0	0.0	0.0	0.0
36	0	0	0	0.0	0.0	0.0	0.0
37	0	0	0	0.0	0.0	0.0	0.0
38	1792	1792	1680	1.0	1.0666666666666667	0.9375	0.0060312
39	162	162	159	1.0	1.0188679245283019	0.9814814814814815	0.0005708099999999999
40	1	1	1	1.0	1.0	1.0	3.5899999999999995e-06
41	0	0	0	0.0	0.0	0.0	0.0
42	1	1	1	1.0	1.0	1.0	3.5899999999999995e-06
43	0	0	0	0.0	0.0	0.0	0.0
44	6	6	6	1.0	1.0	1.0	2.1539999999999997e-05
45	0	0	0	0.0	0.0	0.0	0.0
46	0	0	0	0.0	0.0	0.0	0.0
47	0	0	0	0.0	0.0	0.0	0.0
48	2	2	2	1.0	1.0	1.0	7.179999999999999e-06
49	0	0	0	0.0	0.0	0.0	0.0
