Region	Observed Tags	Unique Tags	Rolled-Up Tags	Avg Reads Per Unique Tag	Avg Reads Per Rolled-Up Tag	Fraction of Unique Tags that are Rolled-Up	Yield: Rolled-Up Tags
0	1058	1058	1006	1.0	1.05168986083499	0.9508506616257089	0.0036115399999999995
1	0	0	0	0.0	0.0	0.0	0.0
2	0	0	0	0.0	0.0	0.0	0.0
3	0	0	0	0.0	0.0	0.0	0.0
4	170	170	169	1.0	1.0059171597633136	0.9941176470588236	0.0006067099999999999
5	48	48	48	1.0	1.0	1.0	0.00017231999999999998
6	0	0	0	0.0	0.0	0.0	0.0
7	123	123	122	1.0	1.0081967213114753	0.991869918699187	0.0004379799999999999
8	0	0	0	0.0	0.0	0.0	0.0
9	0	0	0	0.0	0.0	0.0	0.0
10	0	0	0	0.0	0.0	0.0	0.0
11	0	0	0	0.0	0.0	0.0	0.0
12	0	0	0	0.0	0.0	0.0	0.0
13	0	0	0	0.0	0.0	0.0	0.0
14	0	0	0	0.0	0.0	0.0	0.0
15	0	0	0	0.0	0.0	0.0	0.0
16	0	0	0	0.0	0.0	0.0	0.0
17	0	0	0	0.0	0.0	0.0	0.0
18	0	0	0	0.0	0.0	0.0	0.0
19	0	0	0	0.0	0.0	0.0	0.0
20	0	0	0	0.0	0.0	0.0	0.0
21	0	0	0	0.0	0.0	0.0	0.0
22	0	0	0	0.0	0.0	0.0	0.0
23	1	1	1	1.0	1.0	1.0	3.5899999999999995e-06
24	120	120	120	1.0	1.0	1.0	0.00043079999999999995
25	0	0	0	0.0	0.0	0.0	0.0
26	0	0	0	0.0	0.0	0.0	0.0
27	2	2	2	1.0	1.0	1.0	7.179999999999999e-06
28	0	0	0	0.0	0.0	0.0	0.0
29	0	0	0	0.0	0.0	0.0	0.0
30	6	6	6	1.0	1.0	1.0	2.1539999999999997e-05
31	0	0	0	0.0	0.0	0.0	0.0
32	205	205	203	1.0	1.0098522167487685	0.9902439024390244	0.0007287699999999999
33	0	0	0	0.0	0.0	0.0	0.0
34	130	130	130	1.0	1.0	1.0	0.00046669999999999996
35	0	0	0	0.0	0.0	0.0	0.0
36	0	0	0	0.0	0.0	0.0	0.0
37	0	0	0	0.0	0.0	0.0	0.0
38	1314	1314	1203	1.0	1.0922693266832917	0.9155251141552512	0.0043187699999999996
39	15	15	15	1.0	1.0	1.0	5.3849999999999994e-05
40	0	0	0	0.0	0.0	0.0	0.0
41	0	0	0	0.0	0.0	0.0	0.0
42	0	0	0	0.0	0.0	0.0	0.0
43	0	0	0	0.0	0.0	0.0	0.0
44	0	0	0	0.0	0.0	0.0	0.0
45	0	0	0	0.0	0.0	0.0	0.0
46	1	1	1	1.0	1.0	1.0	3.5899999999999995e-06
47	0	0	0	0.0	0.0	0.0	0.0
48	0	0	0	0.0	0.0	0.0	0.0
49	0	0	0	0.0	0.0	0.0	0.0
