Region Index	Ref Sequence Index	Number of Tags	Number of Aligned Tags	Fraction Aligned Tags	Number of Processed Reads	Number of Aligned Reads	Fraction Aligned Reads
0	0	1345	1339	0.995539033457249	3505	3475	0.9914407988587732
1	0	4058	4046	0.9970428782651553	12425	12335	0.9927565392354125
2	0	2073	2064	0.9956584659913169	2958	2945	0.995605138607167
3	0	1807	1797	0.9944659656889873	3928	3876	0.9867617107942973
4	0	12	12	1.0	23	23	1.0
5	0	3679	3656	0.9937483011687959	11263	11071	0.9829530320518511
6	0	4074	4057	0.9958271968581247	11678	11531	0.9874122281212536
7	0	1633	1614	0.9883649724433557	2031	2001	0.9852289512555391
8	0	1285	1277	0.9937743190661479	1572	1560	0.9923664122137404
9	0	4005	3994	0.9972534332084894	8171	8147	0.9970627830130951
10	0	3540	3531	0.997457627118644	6274	6253	0.9966528530443098
11	0	4187	4173	0.9966563171721997	11160	11083	0.9931003584229391
12	0	1018	1016	0.9980353634577603	1231	1228	0.9975629569455727
13	0	4078	4056	0.9946051986267779	9882	9806	0.9923092491398502
14	0	4297	4276	0.995112869443798	11692	11591	0.9913616147793363
15	0	3097	3087	0.9967710687762351	7916	7863	0.9933046993431026
16	0	5107	5084	0.9954963775210496	14022	13920	0.9927257167308515
17	0	3984	3969	0.9962349397590361	12412	12316	0.9922655494682565
18	0	3278	3271	0.9978645515558268	7242	7178	0.9911626622479978
19	0	2064	2051	0.9937015503875969	3981	3945	0.9909570459683497
20	0	3745	3739	0.9983978638184245	6637	6617	0.9969865903269549
21	0	4905	4889	0.9967380224260958	13751	13609	0.9896734782924879
22	0	1390	1386	0.9971223021582734	3303	3285	0.9945504087193461
23	0	4381	4364	0.9961196073955718	10489	10430	0.9943750595862332
24	0	3697	3674	0.9937787395185286	8566	8503	0.992645342049965
25	0	4223	4216	0.9983424106085721	10879	10848	0.9971504733890982
26	0	2380	2360	0.9915966386554622	4217	4161	0.9867204173583116
27	0	3377	3364	0.996150429375185	8418	8339	0.9906153480636731
28	0	4198	4165	0.9921391138637446	8746	8641	0.9879945117768123
29	0	4276	4261	0.9964920486435921	11520	11468	0.9954861111111111
