Region	Reads Per Tag	Number of Tags
0	13	1
0	12	2
0	11	1
0	10	5
0	9	6
0	8	8
0	7	21
0	6	34
0	5	74
0	4	149
0	3	274
0	2	380
0	1	390
1	15	1
1	14	1
1	12	3
1	11	9
1	10	20
1	9	28
1	8	59
1	7	110
1	6	184
1	5	354
1	4	590
1	3	839
1	2	956
1	1	904
2	6	1
2	5	10
2	4	28
2	3	138
2	2	480
2	1	1416
3	11	1
3	9	1
3	8	4
3	7	13
3	6	27
3	5	62
3	4	147
3	3	322
3	2	529
3	1	701
4	4	1
4	3	1
4	2	6
4	1	4
5	17	1
5	14	1
5	13	3
5	12	6
5	11	11
5	10	14
5	9	35
5	8	52
5	7	129
5	6	174
5	5	278
5	4	495
5	3	720
5	2	892
5	1	868
6	12	4
6	11	8
6	13	1
6	10	14
6	9	23
6	8	43
6	7	83
6	6	153
6	5	337
6	4	559
6	3	752
6	2	1065
6	1	1032
7	6	1
7	4	6
7	3	53
7	2	269
7	1	1304
8	4	6
8	3	31
8	2	207
8	1	1041
9	9	3
9	8	7
9	7	20
9	6	38
9	5	106
9	4	303
9	3	647
9	2	1156
9	1	1725
10	9	1
10	8	3
10	7	5
10	6	15
10	5	58
10	4	142
10	3	463
10	2	1016
10	1	1837
11	12	2
11	13	1
11	11	1
11	10	5
11	9	17
11	8	36
11	7	66
11	6	139
11	5	282
11	4	495
11	3	818
11	2	1156
11	1	1169
12	3	24
12	4	1
12	2	162
12	1	831
13	11	3
13	10	1
13	9	9
13	8	21
13	7	43
13	6	86
13	5	226
13	4	404
13	3	783
13	2	1176
13	1	1326
14	13	1
14	12	3
14	11	1
14	10	4
14	9	30
14	8	42
14	7	79
14	6	158
14	5	285
14	4	516
14	3	843
14	2	1132
14	1	1203
15	12	2
15	11	1
15	10	4
15	9	9
15	8	25
15	7	42
15	6	93
15	5	179
15	4	328
15	3	624
15	2	839
15	1	951
16	13	1
16	11	4
16	10	5
16	9	28
16	8	43
16	7	108
16	6	202
16	5	352
16	4	654
16	3	991
16	2	1283
16	1	1436
17	15	1
17	14	3
17	13	5
17	12	8
17	11	9
17	10	20
17	9	34
17	8	55
17	7	119
17	6	180
17	5	327
17	4	582
17	3	825
17	2	982
17	1	834
18	9	4
18	10	1
18	8	6
18	7	19
18	6	55
18	5	109
18	4	316
18	3	556
18	2	996
18	1	1216
19	8	2
19	7	11
19	6	5
19	5	51
19	4	129
19	3	289
19	2	643
19	1	934
20	9	1
20	8	1
20	7	4
20	6	13
20	5	59
20	4	175
20	3	461
20	2	1105
20	1	1926
21	13	2
21	12	4
21	11	9
21	10	13
21	9	28
21	8	53
21	7	109
21	6	198
21	5	346
21	4	586
21	3	958
21	2	1274
21	1	1325
22	14	1
22	11	1
22	10	3
22	9	1
22	8	5
22	7	14
22	6	21
22	5	67
22	4	128
22	3	297
22	2	385
22	1	467
23	11	3
23	9	5
23	8	22
23	7	53
23	6	100
23	5	220
23	4	438
23	3	804
23	2	1264
23	1	1472
24	10	2
24	9	6
24	8	18
24	7	40
24	6	62
24	5	164
24	4	376
24	3	615
24	2	1113
24	1	1301
25	13	1
25	12	1
25	11	4
25	10	7
25	9	13
25	8	32
25	7	55
25	6	133
25	5	274
25	4	441
25	3	801
25	2	1186
25	1	1275
26	7	7
26	6	11
26	5	33
26	4	102
26	3	312
26	2	678
26	1	1237
27	12	2
27	10	8
27	9	6
27	8	25
27	7	36
27	6	91
27	5	185
27	4	358
27	3	668
27	2	903
27	1	1095
28	11	2
28	9	9
28	8	3
28	7	18
28	6	62
28	5	129
28	4	308
28	3	653
28	2	1271
28	1	1743
29	13	1
29	12	2
29	11	5
29	10	16
29	9	17
29	8	42
29	7	69
29	6	150
29	5	279
29	4	528
29	3	785
29	2	1152
29	1	1230
Combined	13	17
Combined	12	39
Combined	11	73
Combined	10	142
Combined	9	314
Combined	8	607
Combined	7	1273
Combined	6	2386
Combined	5	4846
Combined	4	9291
Combined	3	16347
Combined	2	25656
Combined	1	34193
Combined	15	2
Combined	14	6
Combined	17	1
