Region	Observed Tags	Unique Tags	Rolled-Up Tags	Avg Reads Per Unique Tag	Avg Reads Per Rolled-Up Tag	Fraction of Unique Tags that are Rolled-Up	Yield: Rolled-Up Tags
0	3505	1376	1345	2.547238372093023	2.6059479553903344	0.9774709302325582	0.004828549999999999
1	12425	4176	4058	2.9753352490421454	3.0618531296205025	0.9717432950191571	0.014568219999999998
2	2958	2092	2073	1.4139579349904399	1.426917510853835	0.9909177820267686	0.007442069999999999
3	3928	1844	1807	2.1301518438177873	2.1737686773658	0.9799349240780911	0.006487129999999999
4	23	12	12	1.9166666666666667	1.9166666666666667	1.0	4.3079999999999994e-05
5	11263	3784	3679	2.9764799154334036	3.061429736341397	0.9722515856236786	0.013207609999999998
6	11678	4241	4074	2.753595850035369	2.86647029945999	0.9606224946946474	0.014625659999999999
7	2031	1643	1633	1.2361533779671332	1.2437232088181263	0.9939135727328059	0.005862469999999999
8	1572	1292	1285	1.21671826625387	1.2233463035019456	0.9945820433436533	0.004613149999999999
9	8171	4066	4005	2.009591736350221	2.0401997503121096	0.984997540580423	0.014377949999999999
10	6274	3584	3540	1.7505580357142858	1.772316384180791	0.9877232142857143	0.012708599999999999
11	11160	4281	4187	2.6068675543097406	2.6653928827322666	0.9780425134314412	0.015031329999999997
12	1231	1022	1018	1.2045009784735812	1.2092337917485265	0.9960861056751468	0.0036546199999999995
13	9882	4175	4078	2.366946107784431	2.423246689553703	0.9767664670658682	0.014640019999999998
14	11692	4400	4297	2.6572727272727272	2.7209681172911333	0.9765909090909091	0.015426229999999997
15	7916	3186	3097	2.484620213433773	2.5560219567323217	0.9720652856246077	0.011118229999999998
16	14022	5253	5107	2.6693318103940604	2.7456432347757977	0.972206358271464	0.018334129999999997
17	12412	4124	3984	3.0096993210475267	3.1154618473895583	0.9660523763336566	0.014302559999999999
18	7242	3375	3278	2.1457777777777776	2.209273947528981	0.9712592592592593	0.011768019999999999
19	3981	2097	2064	1.8984263233190273	1.9287790697674418	0.9842632331902719	0.007409759999999999
20	6637	3786	3745	1.7530375066032753	1.772229639519359	0.9891706286318014	0.013444549999999998
21	13751	5026	4905	2.735972940708317	2.803465851172273	0.975925189017111	0.017608949999999998
22	3303	1421	1390	2.3244194229415904	2.3762589928057554	0.9781843771991555	0.004990099999999999
23	10489	4498	4381	2.331925300133393	2.394202236932207	0.9739884393063584	0.01572779
24	8566	3777	3697	2.2679375165475246	2.3170137949688936	0.9788191686523696	0.013272229999999998
25	10879	4323	4223	2.5165394402035624	2.5761307127634385	0.9768679157992135	0.015160569999999998
26	4217	2410	2380	1.749792531120332	1.7718487394957982	0.9875518672199171	0.008544199999999998
27	8418	3466	3377	2.428736295441431	2.4927450399763105	0.9743219849971149	0.012123429999999998
28	8746	4290	4198	2.0386946386946385	2.083373034778466	0.9785547785547786	0.015070819999999999
29	11520	4403	4276	2.6163979105155577	2.694106641721235	0.9711560299795594	0.015350839999999998
