Region Index	Ref Sequence Index	Number of Tags	Number of Aligned Tags	Fraction Aligned Tags	Number of Processed Reads	Number of Aligned Reads	Fraction Aligned Reads
0	0	5074	5020	0.9893575088687426	5546	5482	0.988460151460512
1	0	14460	14330	0.9910096818810512	16132	15966	0.9897098933796181
2	0	2726	2716	0.9963316214233309	2804	2793	0.996077032810271
3	0	5330	5283	0.9911819887429644	5700	5642	0.9898245614035087
4	0	5	4	0.8	7	6	0.8571428571428571
5	0	8136	8009	0.9843903638151426	9088	8917	0.9811839788732394
6	0	13002	12895	0.991770496846639	14275	14141	0.9906129597197898
7	0	948	937	0.9883966244725738	962	950	0.9875259875259875
8	0	925	921	0.9956756756756757	943	938	0.9946977730646872
9	0	7274	7262	0.9983502886994776	7738	7722	0.9979322822434737
10	0	5536	5520	0.9971098265895953	5818	5798	0.996562392574768
11	0	5166	5145	0.9959349593495935	5584	5555	0.9948065902578797
12	0	1050	1047	0.9971428571428571	1083	1079	0.9963065558633426
13	0	11927	11832	0.9920348788463151	12954	12839	0.9911224332252586
14	0	13224	13146	0.9941016333938294	14464	14370	0.9935011061946902
15	0	10936	10883	0.9951536210680322	11901	11827	0.9937820351230989
16	0	13329	13262	0.9949733663440619	14650	14558	0.9937201365187713
17	0	13637	13565	0.9947202463885019	15129	15036	0.9938528653579218
18	0	2241	2221	0.9910754127621597	2406	2386	0.9916874480465503
19	0	5635	5599	0.9936113575865129	5950	5909	0.993109243697479
20	0	3221	3211	0.99689537410742	3377	3366	0.996742671009772
21	0	7393	7322	0.9903963208440416	8197	8117	0.9902403318287178
22	0	3842	3823	0.9950546590317543	4177	4153	0.9942542494613359
23	0	4582	4555	0.9941073766914011	4921	4886	0.9928876244665719
24	0	4994	4972	0.9955947136563876	5400	5374	0.9951851851851852
25	0	11083	11046	0.9966615537309392	12048	12006	0.9965139442231076
26	0	7459	7388	0.990481297761094	7884	7793	0.9884576357179097
27	0	8636	8575	0.9929365446966189	9384	9311	0.9922208013640239
28	0	8549	8470	0.9907591531173237	9157	9061	0.9895162171016708
29	0	12767	12720	0.9963186339782251	14005	13945	0.9957158157800785
