Region	Reads Per Tag	Number of Tags
0	4	4
0	3	30
0	2	400
0	1	4640
1	5	1
1	4	8
1	3	116
1	2	1412
1	1	12923
2	3	3
2	2	72
2	1	2651
3	4	1
3	3	16
3	2	335
3	1	4978
4	2	2
4	1	3
5	5	1
5	4	8
5	3	67
5	2	790
5	1	7270
6	5	1
6	4	3
6	3	83
6	2	1094
6	1	11821
7	2	14
7	1	934
8	3	1
8	2	16
8	1	908
9	5	1
9	4	2
9	3	23
9	2	408
9	1	6840
10	4	1
10	3	12
10	2	255
10	1	5268
11	5	1
11	4	2
11	3	24
11	2	360
11	1	4779
12	3	1
12	2	31
12	1	1018
13	4	3
13	3	51
13	2	916
13	1	10957
14	4	2
14	3	82
14	2	1070
14	1	12070
15	4	1
15	3	67
15	2	828
15	1	10040
16	5	1
16	4	7
16	3	90
16	2	1116
16	1	12115
17	4	12
17	3	111
17	2	1234
17	1	12280
18	4	1
18	3	5
18	2	152
18	1	2083
19	4	1
19	3	13
19	2	286
19	1	5335
20	3	3
20	2	150
20	1	3068
21	4	11
21	3	56
21	2	659
21	1	6667
22	4	2
22	3	12
22	2	305
22	1	3523
23	4	3
23	3	21
23	2	288
23	1	4270
24	5	1
24	4	1
24	3	27
24	2	345
24	1	4620
25	4	4
25	3	56
25	2	841
25	1	10182
26	4	2
26	3	14
26	2	391
26	1	7052
27	5	2
27	4	4
27	3	40
27	2	648
27	1	7942
28	4	2
28	3	38
28	2	526
28	1	7983
29	5	1
29	4	7
29	3	83
29	2	1047
29	1	11629
Combined	4	92
Combined	3	1145
Combined	2	15991
Combined	1	195849
Combined	5	10
