Region	Observed Tags	Unique Tags	Rolled-Up Tags	Avg Reads Per Unique Tag	Avg Reads Per Rolled-Up Tag	Fraction of Unique Tags that are Rolled-Up	Yield: Rolled-Up Tags
0	5546	5081	5074	1.0915174178311355	1.0930232558139534	0.9986223184412517	0.018215659999999998
1	16132	14489	14460	1.113396369659742	1.1156293222683265	0.9979984816067361	0.051911399999999996
2	2804	2728	2726	1.0278592375366569	1.028613352898019	0.999266862170088	0.00978634
3	5700	5339	5330	1.0676156583629892	1.0694183864915572	0.9983142910657427	0.019134699999999998
4	7	5	5	1.4	1.4	1.0	1.795e-05
5	9088	8161	8136	1.1135890209533146	1.1170108161258603	0.9969366499203529	0.029208239999999996
6	14275	13042	13002	1.094540714614323	1.097908014151669	0.9969329857383837	0.04667717999999999
7	962	948	948	1.0147679324894514	1.0147679324894514	1.0	0.0034033199999999996
8	943	926	925	1.0183585313174945	1.0194594594594595	0.9989200863930886	0.0033207499999999995
9	7738	7284	7274	1.0623283909939594	1.063788836953533	0.9986271279516749	0.026113659999999997
10	5818	5545	5536	1.0492335437330929	1.0509393063583814	0.9983769161406673	0.019874239999999998
11	5584	5178	5166	1.0784086519891851	1.08091366627952	0.9976825028968713	0.018545939999999997
12	1083	1051	1050	1.0304471931493815	1.0314285714285714	0.9990485252140818	0.0037694999999999994
13	12954	11950	11927	1.0840167364016737	1.0861071518403622	0.9980753138075313	0.04281793
14	14464	13256	13224	1.0911285455642727	1.0937689050211736	0.9975859987929994	0.047474159999999994
15	11901	10967	10936	1.0851645846630802	1.0882406730065837	0.9971733381964074	0.039260239999999995
16	14650	13363	13329	1.096310708673202	1.099107209843199	0.9974556611539325	0.047851109999999995
17	15129	13671	13637	1.1066491112574062	1.1094082276160446	0.9975129836880989	0.04895682999999999
18	2406	2245	2241	1.0717149220489979	1.073627844712182	0.998218262806236	0.008045189999999999
19	5950	5645	5635	1.054030115146147	1.0559006211180124	0.9982285208148804	0.02022965
20	3377	3227	3221	1.0464828013634955	1.048432163924247	0.9981406879454602	0.011563389999999998
21	8197	7414	7393	1.105611006204478	1.1087515217097255	0.9971675209063933	0.026540869999999998
22	4177	3850	3842	1.0849350649350649	1.0871941697032796	0.9979220779220779	0.013792779999999998
23	4921	4591	4582	1.0718797647571334	1.0739851593190746	0.9980396427793509	0.016449379999999996
24	5400	5001	4994	1.0797840431913617	1.0812975570684822	0.9986002799440112	0.017928459999999997
25	12048	11109	11083	1.0845260599513908	1.0870702878282053	0.99765955531551	0.03978796999999999
26	7884	7475	7459	1.0547157190635452	1.056978147204719	0.9978595317725752	0.026777809999999996
27	9384	8653	8636	1.0844793713163066	1.0866141732283465	0.9980353634577603	0.031003239999999994
28	9157	8567	8549	1.0688689156063966	1.0711194291730026	0.9978989144391269	0.030690909999999995
29	14005	12805	12767	1.093713393205779	1.0969687475522831	0.9970324092151504	0.04583352999999999
